X_m,Y_m
51.0,16.0
51.0,15.0
51.0,14.0
51.0,13.0
51.0,12.0
51.0,11.0
51.0,10.0
52.0,25.0
52.0,24.0
52.0,23.0
52.0,22.0
52.0,21.0
52.0,20.0
52.0,19.0
52.0,18.0
52.0,17.0
52.0,16.0
52.0,15.0
52.0,14.0
52.0,13.0
52.0,12.0
52.0,11.0
52.0,10.0
53.0,25.0
53.0,24.0
53.0,23.0
53.0,22.0
53.0,21.0
53.0,20.0
53.0,19.0
53.0,18.0
53.0,17.0
53.0,16.0
53.0,15.0
53.0,14.0
53.0,13.0
53.0,12.0
53.0,11.0
53.0,10.0
54.0,25.0
54.0,24.0
54.0,23.0
54.0,22.0
54.0,21.0
54.0,20.0
55.0,25.0
55.0,24.0
55.0,23.0
55.0,22.0
55.0,21.0
55.0,20.0
56.0,25.0
56.0,24.0
56.0,23.0
56.0,22.0
56.0,21.0
56.0,20.0
57.0,26.0
57.0,25.0
57.0,24.0
57.0,23.0
57.0,22.0
57.0,21.0
57.0,20.0
58.0,27.0
58.0,26.0
58.0,25.0
58.0,24.0
58.0,23.0
58.0,22.0
58.0,21.0
58.0,20.0
59.0,28.0
59.0,27.0
59.0,26.0
59.0,25.0
59.0,24.0
59.0,23.0
59.0,22.0
59.0,21.0
59.0,20.0
60.0,28.0
60.0,27.0
60.0,26.0
60.0,25.0
60.0,24.0
60.0,23.0
60.0,22.0
60.0,21.0
60.0,20.0
61.0,28.0
61.0,27.0
61.0,26.0
61.0,25.0
61.0,24.0
61.0,23.0
61.0,22.0
61.0,21.0
61.0,20.0
62.0,28.0
62.0,27.0
62.0,26.0
62.0,25.0
62.0,24.0
62.0,23.0
62.0,22.0
62.0,21.0
62.0,20.0
63.0,27.0
63.0,26.0
63.0,25.0
63.0,24.0
63.0,23.0
63.0,22.0
63.0,21.0
64.0,28.0
64.0,27.0
64.0,26.0
64.0,25.0
64.0,24.0
64.0,23.0
64.0,22.0
65.0,29.0
65.0,28.0
65.0,27.0
65.0,26.0
65.0,25.0
65.0,24.0
65.0,23.0
66.0,30.0
66.0,29.0
66.0,28.0
66.0,27.0
66.0,26.0
66.0,25.0
66.0,24.0
67.0,31.0
67.0,30.0
67.0,29.0
67.0,28.0
67.0,27.0
67.0,26.0
67.0,25.0
68.0,32.0
68.0,31.0
68.0,30.0
68.0,29.0
68.0,28.0
68.0,27.0
68.0,26.0
69.0,33.0
69.0,32.0
69.0,31.0
69.0,30.0
69.0,29.0
69.0,28.0
69.0,27.0
70.0,34.0
70.0,33.0
70.0,32.0
70.0,31.0
70.0,30.0
70.0,29.0
70.0,28.0
71.0,35.0
71.0,34.0
71.0,33.0
71.0,32.0
71.0,31.0
71.0,30.0
71.0,29.0
72.0,36.0
72.0,35.0
72.0,34.0
72.0,33.0
72.0,32.0
72.0,31.0
72.0,30.0
73.0,35.0
73.0,34.0
73.0,33.0
73.0,32.0
73.0,31.0
74.0,35.0
74.0,34.0
74.0,33.0
74.0,32.0
75.0,36.0
75.0,35.0
75.0,34.0
75.0,33.0
76.0,37.0
76.0,36.0
76.0,35.0
76.0,34.0
77.0,38.0
77.0,37.0
77.0,36.0
77.0,35.0
78.0,39.0
78.0,38.0
78.0,37.0
78.0,36.0
79.0,40.0
79.0,39.0
79.0,38.0
79.0,37.0
80.0,41.0
80.0,40.0
80.0,39.0
80.0,38.0
81.0,42.0
81.0,41.0
81.0,40.0
81.0,39.0
82.0,43.0
82.0,42.0
82.0,41.0
82.0,40.0
83.0,44.0
83.0,43.0
83.0,42.0
83.0,41.0
84.0,45.0
84.0,44.0
84.0,43.0
84.0,42.0
85.0,46.0
85.0,45.0
85.0,44.0
85.0,43.0
86.0,47.0
86.0,46.0
86.0,45.0
86.0,44.0
87.0,48.0
87.0,47.0
87.0,46.0
87.0,45.0
88.0,49.0
88.0,48.0
88.0,47.0
88.0,46.0
89.0,50.0
89.0,49.0
89.0,48.0
89.0,47.0
90.0,51.0
90.0,50.0
90.0,49.0
90.0,48.0
91.0,52.0
91.0,51.0
91.0,50.0
91.0,49.0
92.0,53.0
92.0,52.0
92.0,51.0
92.0,50.0
93.0,54.0
93.0,53.0
93.0,52.0
93.0,51.0
94.0,55.0
94.0,54.0
94.0,53.0
94.0,52.0
95.0,56.0
95.0,55.0
95.0,54.0
95.0,53.0
96.0,55.0
96.0,54.0
